car,move
B ,1
J ,-1
B ,-1
I ,-2
H ,1
C ,-1
B ,1
C ,1
B ,-1
H ,-1
I ,2
B ,1
A ,1
J ,1
A ,-2
B ,-2
J ,-1
C ,-1
G ,1
L ,1
J ,1
L ,-1
G ,-1
B ,2
G ,2
L ,2
B ,-1
J ,-3
I ,-2
H ,1
E ,-3
D ,-1
B ,1
E ,2
D ,1
E ,2
H ,-1
E ,-1
I ,2
E ,1
I ,-2
J ,2
H ,1
J ,-2
E ,-4
B ,-1
D ,-1
E ,2
D ,1
J ,2
L ,-2
B ,1
F ,1
B ,-1
K ,1
G ,-1
E ,1
G ,1
E ,-1
G ,-1
K ,-1
E ,1
F ,1
G ,1
F ,-2
B ,1
G ,-2
E ,1
A ,1
C ,1
H ,-1
I ,2
C ,-1
J ,1
A ,-1
G ,2
E ,-1
B ,-1
H ,-1
J ,-1
X ,1
J ,1
H ,1
L ,1
X ,-1
B ,1
G ,-1
L ,-1
B ,-2
L ,1
J ,-1
L ,-1
J ,1
B ,2
J ,-1
A ,2
L ,1
I ,-2
L ,-1
F ,1
K ,1
I ,2
J ,1
K ,-1
A ,-2
B ,-2
J ,-1
K ,1
I ,-2
K ,-1
I ,2
F ,-1
B ,2
A ,2
F ,1
A ,-2
I ,-2
B ,-2
F ,-1
H ,1
G ,-1
H ,-1
G ,1
F ,1
H ,1
E ,-1
K ,1
E ,1
F ,1
B ,2
K ,-1
G ,1
E ,1
